# potencia laser durante la medida en theta = 330.00 deg
# t[s]	P[uW]
0.0189	99995.02389
0.4413	99995.02389
0.8636	99978.10510
1.2898	99995.02389
1.7121	100010.94745
2.1299	100026.87102
2.5521	100026.87102
2.9744	100010.94745
3.3966	100026.87102
3.8188	99962.18153
4.2378	100010.94745
4.6566	99978.10510
5.0790	99962.18153
5.5054	99995.02389
5.9245	99946.25796
6.3465	99995.02389
6.7686	99978.10510
7.1909	99978.10510
7.6132	100010.94745
8.0355	100010.94745
8.4540	99978.10510
8.8800	100026.87102
9.3003	99962.18153
9.7225	100026.87102
