# potencia laser durante la medida en theta = 270.00 deg
# t[s]	P[uW]
0.0197	100059.71338
0.4377	100059.71338
0.8600	99978.10510
1.2801	99978.10510
1.6981	99946.25796
2.1203	100026.87102
2.5383	99962.18153
2.9605	99995.02389
3.3796	99995.02389
3.8019	100026.87102
4.2243	100010.94745
4.6419	99946.25796
5.0642	100026.87102
5.4894	100010.94745
5.9115	99978.10510
6.3337	99978.10510
6.7510	99929.33917
7.1732	99978.10510
7.5954	100043.78981
8.0133	100010.94745
8.4356	99962.18153
8.8579	99978.10510
9.2810	100010.94745
9.7142	100043.78981
