# potencia laser durante la medida en theta = 190.00 deg
# t[s]	P[uW]
0.0193	100010.94745
0.4411	100026.87102
0.8696	100026.87102
1.2879	100059.71338
1.7097	99978.10510
2.1279	99978.10510
2.5461	99978.10510
2.9643	100010.94745
3.3815	100026.87102
3.8034	99995.02389
4.2253	99962.18153
4.6472	100010.94745
5.0709	99978.10510
5.4984	100010.94745
5.9202	99995.02389
6.3421	99962.18153
6.7640	99995.02389
7.1860	100010.94745
7.6079	99995.02389
8.0299	100043.78981
8.4471	100043.78981
8.8716	100059.71338
9.3042	99946.25796
9.7261	99978.10510
