# potencia laser durante la medida en theta = 320.00 deg
# t[s]	P[uW]
0.0192	99962.18153
0.4415	100026.87102
0.8607	99978.10510
1.2863	99978.10510
1.7084	100010.94745
2.1261	99962.18153
2.5449	100092.55573
2.9671	100026.87102
3.3859	99929.33917
3.8081	100010.94745
4.2302	99978.10510
4.6491	99995.02389
5.0731	100043.78981
5.5021	99946.25796
5.9243	99978.10510
6.3465	99995.02389
6.7650	99995.02389
7.1837	99962.18153
7.6059	99978.10510
8.0284	99946.25796
8.4506	99995.02389
8.8686	99978.10510
9.2935	99978.10510
9.7141	99978.10510
