# potencia laser durante la medida en theta = 30.00 deg
# t[s]	P[uW]
0.0190	99995.02389
0.4412	99978.10510
0.8691	99995.02389
1.2867	99962.18153
1.7089	100010.94745
2.1273	100010.94745
2.5496	100059.71338
2.9679	100026.87102
3.3863	100026.87102
3.8085	99978.10510
4.2308	99978.10510
4.6531	100010.94745
5.0735	100026.87102
5.4921	99995.02389
5.9143	100075.63694
6.3365	100043.78981
6.7587	100075.63694
7.1809	99978.10510
7.5996	100026.87102
8.0219	99978.10510
8.4442	100043.78981
8.8665	100059.71338
9.2938	99995.02389
9.7158	99995.02389
