# potencia laser durante la medida en theta = 280.00 deg
# t[s]	P[uW]
0.0222	99978.10510
0.4447	100010.94745
0.8621	100010.94745
1.2876	100026.87102
1.7069	100026.87102
2.1292	99995.02389
2.5466	100010.94745
2.9689	99978.10510
3.3876	99929.33917
3.8098	99946.25796
4.2320	99978.10510
4.6543	100010.94745
5.0800	100010.94745
5.4974	99946.25796
5.9196	100010.94745
6.3417	100026.87102
6.7640	99978.10510
7.1862	99962.18153
7.6084	100010.94745
8.0265	100010.94745
8.4487	99978.10510
8.8709	99978.10510
9.2988	100010.94745
9.7210	99962.18153
