# potencia laser durante la medida en theta = 120.00 deg
# t[s]	P[uW]
0.0199	100059.71338
0.4380	99929.33917
0.8634	100010.94745
1.2868	99978.10510
1.7090	100010.94745
2.1266	100010.94745
2.5488	99978.10510
2.9710	99978.10510
3.3890	99946.25796
3.8112	99962.18153
4.2334	99995.02389
4.6557	100043.78981
5.0850	100059.71338
5.5071	100026.87102
5.9293	99995.02389
6.3470	100026.87102
6.7692	99896.49682
7.1867	100010.94745
7.6089	99962.18153
8.0267	99962.18153
8.4489	100043.78981
8.8712	100010.94745
9.2891	99913.41561
9.7112	99962.18153
