# potencia laser durante la medida en theta = 0.00 deg
# t[s]	P[uW]
0.0242	99962.18153
0.4465	99962.18153
0.8720	99978.10510
1.2942	100043.78981
1.7123	100010.94745
2.1345	100059.71338
2.5567	100010.94745
2.9790	99995.02389
3.4012	99995.02389
3.8234	99946.25796
4.2456	99978.10510
4.6632	100010.94745
5.0922	99978.10510
5.5143	99995.02389
5.9366	100010.94745
6.3587	99946.25796
6.7809	99913.41561
7.1993	99962.18153
7.6170	100059.71338
8.0392	99978.10510
8.4615	100026.87102
8.8941	100026.87102
9.3134	100043.78981
9.7356	100043.78981
