# potencia laser durante la medida en theta = 160.00 deg
# t[s]	P[uW]
0.0200	100059.71338
0.4392	100059.71338
0.8615	100026.87102
1.2878	100010.94745
1.7099	99946.25796
2.1298	100026.87102
2.5520	99946.25796
2.9697	99978.10510
3.3919	100043.78981
3.8142	99946.25796
4.2329	100010.94745
4.6552	100026.87102
5.0842	100010.94745
5.5065	99995.02389
5.9286	100026.87102
6.3472	99962.18153
6.7694	100043.78981
7.1872	100043.78981
7.6095	100010.94745
8.0317	99962.18153
8.4504	100010.94745
8.8690	100026.87102
9.2949	99995.02389
9.7170	100010.94745
