# potencia laser durante la medida en theta = 210.00 deg
# t[s]	P[uW]
0.0190	99978.10510
0.4412	100075.63694
0.8596	99978.10510
1.2870	100026.87102
1.7092	100026.87102
2.1314	100026.87102
2.5500	100010.94745
2.9722	100059.71338
3.3945	100010.94745
3.8167	100043.78981
4.2345	100059.71338
4.6520	100026.87102
5.0744	100043.78981
5.5013	100092.55573
5.9234	100059.71338
6.3455	99929.33917
6.7677	100059.71338
7.1900	100010.94745
7.6123	99978.10510
8.0303	100026.87102
8.4527	100026.87102
8.8733	100026.87102
9.2960	100010.94745
9.7181	100010.94745
