# potencia laser durante la medida en theta = 240.00 deg
# t[s]	P[uW]
0.0190	100026.87102
0.4366	100026.87102
0.8631	100026.87102
1.2865	99995.02389
1.7086	99946.25796
2.1309	100059.71338
2.5492	100010.94745
2.9714	100026.87102
3.3902	100043.78981
3.8124	99995.02389
4.2346	99995.02389
4.6570	100026.87102
5.0784	99995.02389
5.5006	99995.02389
5.9215	99995.02389
6.3401	99978.10510
6.7622	99978.10510
7.1844	100026.87102
7.6067	100026.87102
8.0289	99978.10510
8.4512	100059.71338
8.8735	99962.18153
9.3032	100026.87102
9.7207	100026.87102
