# potencia laser durante la medida en theta = 300.00 deg
# t[s]	P[uW]
0.0226	99978.10510
0.4453	100010.94745
0.8661	100043.78981
1.2891	100026.87102
1.7074	100043.78981
2.1259	100010.94745
2.5481	99978.10510
2.9658	100043.78981
3.3833	100026.87102
3.8055	99995.02389
4.2241	99995.02389
4.6464	99962.18153
5.0698	100026.87102
5.4975	99962.18153
5.9158	100010.94745
6.3381	100010.94745
6.7603	99995.02389
7.1825	99978.10510
7.6046	99995.02389
8.0269	99995.02389
8.4491	100010.94745
8.8732	100059.71338
9.2911	100026.87102
9.7123	99978.10510
