# potencia laser durante la medida en theta = 360.00 deg
# t[s]	P[uW]
0.0189	99946.25796
0.4412	100010.94745
0.8635	99978.10510
1.2813	99929.33917
1.7036	99978.10510
2.1257	99962.18153
2.5480	100010.94745
2.9702	99978.10510
3.3924	99946.25796
3.8103	99978.10510
4.2326	100010.94745
4.6549	99995.02389
5.0772	99946.25796
5.5043	99962.18153
5.9265	99995.02389
6.3487	100010.94745
6.7662	99978.10510
7.1883	99995.02389
7.6106	99962.18153
8.0329	99995.02389
8.4505	100043.78981
8.8801	99962.18153
9.3121	100010.94745
9.7343	99929.33917
