# potencia laser durante la medida en theta = 130.00 deg
# t[s]	P[uW]
0.0197	99978.10510
0.4420	99978.10510
0.8643	99929.33917
1.2866	100026.87102
1.7078	99962.18153
2.1260	99962.18153
2.5482	99978.10510
2.9657	99962.18153
3.3879	99995.02389
3.8101	99946.25796
4.2323	100010.94745
4.6505	99946.25796
5.0728	99995.02389
5.4986	100010.94745
5.9169	99978.10510
6.3391	99962.18153
6.7613	99978.10510
7.1836	99962.18153
7.6016	99962.18153
8.0238	99962.18153
8.4461	100059.71338
8.8640	99978.10510
9.2870	100010.94745
9.7197	99946.25796
