# potencia laser durante la medida en theta = 20.00 deg
# t[s]	P[uW]
0.0185	99995.02389
0.4372	100010.94745
0.8594	99978.10510
1.2778	99978.10510
1.6956	99978.10510
2.1138	99978.10510
2.5312	99995.02389
2.9488	99962.18153
3.3710	100026.87102
3.7932	100010.94745
4.2110	99962.18153
4.6330	100043.78981
5.0551	100026.87102
5.4752	100010.94745
5.9011	100026.87102
6.3194	100059.71338
6.7415	99995.02389
7.1636	99978.10510
7.5858	100010.94745
8.0079	99995.02389
8.4253	99929.33917
8.8475	99962.18153
9.2698	99995.02389
9.6973	99962.18153
