# potencia laser durante la medida en theta = 90.00 deg
# t[s]	P[uW]
0.0192	100010.94745
0.4415	100043.78981
0.8638	100026.87102
1.2811	99978.10510
1.7022	99978.10510
2.1244	99978.10510
2.5466	100010.94745
2.9689	100026.87102
3.3910	100075.63694
3.8133	100010.94745
4.2310	99995.02389
4.6483	100010.94745
5.0774	100026.87102
5.5073	100043.78981
5.9295	100026.87102
6.3517	100043.78981
6.7739	100010.94745
7.1961	99978.10510
7.6183	99978.10510
8.0405	99978.10510
8.4627	100026.87102
8.8812	100010.94745
9.3161	100010.94745
9.7342	100010.94745
