# potencia laser durante la medida en theta = 350.00 deg
# t[s]	P[uW]
0.0227	99995.02389
0.4449	99962.18153
0.8672	100026.87102
1.2885	100010.94745
1.7114	99896.49682
2.1335	99995.02389
2.5515	100026.87102
2.9737	100010.94745
3.3921	99978.10510
3.8106	99962.18153
4.2303	99978.10510
4.6526	99995.02389
5.0702	99995.02389
5.4926	99929.33917
5.9204	100010.94745
6.3426	99978.10510
6.7606	100010.94745
7.1829	99929.33917
7.6051	100010.94745
8.0274	99978.10510
8.4452	99978.10510
8.8675	100010.94745
9.2850	99995.02389
9.7122	99913.41561
