# potencia laser durante la medida en theta = 60.00 deg
# t[s]	P[uW]
0.0224	99978.10510
0.4405	99995.02389
0.8628	99995.02389
1.2853	99978.10510
1.7039	99962.18153
2.1223	99978.10510
2.5445	100010.94745
2.9622	99929.33917
3.3844	100026.87102
3.8018	100010.94745
4.2241	99946.25796
4.6428	99929.33917
5.0603	100010.94745
5.4829	100059.71338
5.9091	100075.63694
6.3313	100026.87102
6.7535	99978.10510
7.1724	100026.87102
7.5947	99978.10510
8.0134	99995.02389
8.4357	100010.94745
8.8579	99962.18153
9.2824	100026.87102
9.7162	99995.02389
