# potencia laser durante la medida en theta = 10.00 deg
# t[s]	P[uW]
0.0195	100010.94745
0.4421	99962.18153
0.8644	99978.10510
1.2908	100010.94745
1.7112	99978.10510
2.1292	99962.18153
2.5514	99995.02389
2.9705	99995.02389
3.3928	100059.71338
3.8150	99978.10510
4.2373	99978.10510
4.6596	100026.87102
5.0790	99962.18153
5.5050	99962.18153
5.9223	99995.02389
6.3446	99995.02389
6.7629	99995.02389
7.1851	100010.94745
7.6072	100026.87102
8.0263	99978.10510
8.4485	99978.10510
8.8707	100043.78981
9.2968	99946.25796
9.7189	100010.94745
