# potencia laser durante la medida en theta = 40.00 deg
# t[s]	P[uW]
0.0232	99978.10510
0.4454	99913.41561
0.8669	99995.02389
1.2898	99978.10510
1.7120	99978.10510
2.1307	99995.02389
2.5529	99946.25796
2.9703	99962.18153
3.3926	99995.02389
3.8148	99946.25796
4.2371	99995.02389
4.6594	99995.02389
5.0870	99962.18153
5.5091	100043.78981
5.9267	99995.02389
6.3448	100010.94745
6.7623	99978.10510
7.1797	99946.25796
7.6018	99946.25796
8.0241	99962.18153
8.4463	99978.10510
8.8638	100010.94745
9.2907	99946.25796
9.7129	99913.41561
