# potencia laser durante la medida en theta = 50.00 deg
# t[s]	P[uW]
0.0186	99995.02389
0.4409	99978.10510
0.8649	100026.87102
1.2828	100010.94745
1.7008	99995.02389
2.1192	99978.10510
2.5415	100043.78981
2.9637	99978.10510
3.3859	99995.02389
3.8082	99995.02389
4.2305	99995.02389
4.6483	99962.18153
5.0710	99962.18153
5.4968	99995.02389
5.9190	100010.94745
6.3411	99978.10510
6.7633	99929.33917
7.1811	99978.10510
7.6034	99978.10510
8.0207	99946.25796
8.4429	99946.25796
8.8654	99995.02389
9.2899	99995.02389
9.7121	99995.02389
