# potencia laser durante la medida en theta = 110.00 deg
# t[s]	P[uW]
0.0248	99978.10510
0.4435	99946.25796
0.8731	100010.94745
1.2969	100010.94745
1.7191	100010.94745
2.1413	99978.10510
2.5635	99995.02389
2.9857	99946.25796
3.4079	99978.10510
3.8270	99962.18153
4.2492	99946.25796
4.6765	100026.87102
5.1047	99978.10510
5.5268	99946.25796
5.9490	99978.10510
6.3676	99929.33917
6.7897	99995.02389
7.2120	99962.18153
7.6342	99962.18153
8.0522	99962.18153
8.4796	99929.33917
8.9127	99896.49682
9.3349	99978.10510
9.7570	99978.10510
