# potencia laser durante la medida en theta = 290.00 deg
# t[s]	P[uW]
0.0186	99946.25796
0.4376	100026.87102
0.8599	99929.33917
1.2829	99946.25796
1.7021	99929.33917
2.1243	99995.02389
2.5465	99995.02389
2.9680	99929.33917
3.3902	99946.25796
3.8125	99978.10510
4.2348	99978.10510
4.6524	99995.02389
5.0805	99946.25796
5.5088	99995.02389
5.9310	100026.87102
6.3483	100010.94745
6.7705	100010.94745
7.1884	100026.87102
7.6106	100010.94745
8.0300	99995.02389
8.4473	100010.94745
8.8696	100010.94745
9.3014	99962.18153
9.7216	100026.87102
