# potencia laser durante la medida en theta = 260.00 deg
# t[s]	P[uW]
0.0205	100026.87102
0.4384	100010.94745
0.8639	100010.94745
1.2882	99978.10510
1.7105	99978.10510
2.1290	99995.02389
2.5466	99978.10510
2.9689	99995.02389
3.3912	99995.02389
3.8134	99946.25796
4.2313	99962.18153
4.6487	100010.94745
5.0714	100059.71338
5.4968	100026.87102
5.9190	100043.78981
6.3379	99995.02389
6.7601	99962.18153
7.1783	99978.10510
7.5967	99978.10510
8.0190	99978.10510
8.4380	100010.94745
8.8602	100010.94745
9.2880	100010.94745
9.7103	99946.25796
