# potencia laser durante la medida en theta = 310.00 deg
# t[s]	P[uW]
0.0191	100059.71338
0.4413	99978.10510
0.8712	99995.02389
1.2950	100043.78981
1.7124	100059.71338
2.1346	100043.78981
2.5531	100010.94745
2.9754	99978.10510
3.3977	100026.87102
3.8165	99995.02389
4.2349	100010.94745
4.6533	99995.02389
5.0759	100059.71338
5.5031	99978.10510
5.9252	100010.94745
6.3437	99962.18153
6.7624	100026.87102
7.1847	99978.10510
7.6069	100010.94745
8.0292	100026.87102
8.4514	99995.02389
8.8697	99995.02389
9.2965	99929.33917
9.7235	100059.71338
