# potencia laser durante la medida en theta = 180.00 deg
# t[s]	P[uW]
0.0225	99978.10510
0.4451	100026.87102
0.8628	100075.63694
1.2859	100043.78981
1.7064	99962.18153
2.1286	99978.10510
2.5467	100026.87102
2.9649	99962.18153
3.3823	99995.02389
3.7998	99962.18153
4.2220	100010.94745
4.6398	100043.78981
5.0620	99978.10510
5.4850	99978.10510
5.9116	99978.10510
6.3338	100010.94745
6.7559	100026.87102
7.1782	100010.94745
7.5996	99946.25796
8.0220	99978.10510
8.4396	99978.10510
8.8618	99995.02389
9.2868	99995.02389
9.7203	99978.10510
