# potencia laser durante la medida en theta = 340.00 deg
# t[s]	P[uW]
0.0205	99978.10510
0.4428	100043.78981
0.8609	99995.02389
1.2849	99946.25796
1.7075	99995.02389
2.1296	100010.94745
2.5518	99995.02389
2.9702	99978.10510
3.3924	100010.94745
3.8109	100043.78981
4.2331	100026.87102
4.6554	100059.71338
5.0776	100010.94745
5.5053	99995.02389
5.9275	99978.10510
6.3497	99962.18153
6.7719	100010.94745
7.1940	100026.87102
7.6162	99995.02389
8.0345	99995.02389
8.4567	99962.18153
8.8753	99995.02389
9.3064	100026.87102
9.7286	99978.10510
