# potencia laser durante la medida en theta = 220.00 deg
# t[s]	P[uW]
0.0185	99978.10510
0.4366	100010.94745
0.8589	100043.78981
1.2814	100026.87102
1.6988	100075.63694
2.1210	99978.10510
2.5432	100010.94745
2.9654	99995.02389
3.3876	100059.71338
3.8099	99929.33917
4.2301	100059.71338
4.6524	100010.94745
5.0746	100043.78981
5.5026	100043.78981
5.9248	100026.87102
6.3470	100026.87102
6.7646	100010.94745
7.1831	100026.87102
7.6016	99978.10510
8.0238	99995.02389
8.4416	100043.78981
8.8589	100108.47930
9.2813	100026.87102
9.7068	100026.87102
