# potencia laser durante la medida en theta = 80.00 deg
# t[s]	P[uW]
0.0247	99978.10510
0.4470	99962.18153
0.8717	99962.18153
1.2954	100010.94745
1.7176	99995.02389
2.1358	99978.10510
2.5581	99896.49682
2.9804	99978.10510
3.4027	100010.94745
3.8206	99962.18153
4.2390	99929.33917
4.6613	99978.10510
5.0878	99978.10510
5.5082	100010.94745
5.9304	100010.94745
6.3526	99995.02389
6.7704	99962.18153
7.1926	99946.25796
7.6148	99946.25796
8.0370	99995.02389
8.4593	99995.02389
8.8800	99946.25796
9.2974	99962.18153
9.7191	99995.02389
