"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
9.899995e-01,3.027964e-02,3.101437e-01,-9.502074e-01,4.221191e+01,-3.592161e+01,5.151398e-01,-7.192353e+01,9.981915e+01,-2.373475e+01,4.231801e-06,
1.019999e+00,3.191935e-02,3.122510e-01,-9.494633e-01,4.208165e+01,-3.585345e+01,5.159597e-01,-7.179546e+01,9.972742e+01,-2.371918e+01,4.247000e-06,
1.049999e+00,3.158804e-02,3.156803e-01,-9.483397e-01,4.214291e+01,-3.575145e+01,5.157940e-01,-7.158859e+01,9.977425e+01,-2.371932e+01,4.246857e-06,
1.079999e+00,3.009186e-02,3.195302e-01,-9.470982e-01,4.231001e+01,-3.563999e+01,5.150459e-01,-7.135673e+01,9.981621e+01,-2.371518e+01,4.250909e-06,
1.109999e+00,2.999418e-02,3.211757e-01,-9.465445e-01,4.233235e+01,-3.559069e+01,5.149971e-01,-7.125721e+01,9.978983e+01,-2.370458e+01,4.261296e-06,
1.139999e+00,3.091016e-02,3.238285e-01,-9.456107e-01,4.227375e+01,-3.550811e+01,5.154551e-01,-7.109601e+01,9.976906e+01,-2.370427e+01,4.261599e-06,
1.169999e+00,3.122816e-02,3.263524e-01,-9.447322e-01,4.226705e+01,-3.543105e+01,5.156141e-01,-7.094282e+01,9.976743e+01,-2.370742e+01,4.258512e-06,
1.199999e+00,3.040031e-02,3.293262e-01,-9.437267e-01,4.236297e+01,-3.534357e+01,5.152002e-01,-7.076288e+01,9.980137e+01,-2.371103e+01,4.254978e-06,
1.229999e+00,3.057924e-02,3.315723e-01,-9.429341e-01,4.236540e+01,-3.527514e+01,5.152896e-01,-7.062634e+01,9.978912e+01,-2.371184e+01,4.254177e-06,
1.259999e+00,2.982693e-02,3.333471e-01,-9.423323e-01,4.244348e+01,-3.522350e+01,5.149135e-01,-7.051893e+01,9.977589e+01,-2.371768e+01,4.248465e-06,
1.289999e+00,3.131141e-02,3.356280e-01,-9.414741e-01,4.233509e+01,-3.515030e+01,5.156557e-01,-7.037925e+01,9.974375e+01,-2.370966e+01,4.256316e-06,
1.319999e+00,3.015310e-02,3.399283e-01,-9.399678e-01,4.246544e+01,-3.502308e+01,5.150766e-01,-7.011807e+01,9.982729e+01,-2.371572e+01,4.250385e-06,
