# potencia laser durante la medida en theta = 40.00 deg
# t[s]	P[uW]
0.0193	100062.90759
0.4415	100045.97732
0.8598	100045.97732
1.2890	99948.37926
1.7113	100014.10856
2.1297	100014.10856
2.5481	100030.04294
2.9664	99981.24391
3.3849	100030.04294
3.8023	100014.10856
4.2245	100030.04294
4.6421	99964.31364
5.0604	100062.90759
5.4834	100014.10856
5.9056	100045.97732
6.3251	100030.04294
6.7474	99981.24391
7.1696	100045.97732
7.5874	100014.10856
8.0097	100014.10856
8.4283	100014.10856
8.8456	100014.10856
9.2661	100014.10856
9.6906	100030.04294
