# potencia laser durante la medida en theta = 120.00 deg
# t[s]	P[uW]
0.0188	100045.97732
0.4371	99997.17829
0.8584	100045.97732
1.2846	99964.31364
1.7068	100078.84197
2.1258	100014.10856
2.5481	100014.10856
2.9666	100062.90759
3.3839	100030.04294
3.8062	99964.31364
4.2237	100014.10856
4.6459	100014.10856
5.0712	100045.97732
5.4891	100030.04294
5.9112	100030.04294
6.3291	100045.97732
6.7513	99997.17829
7.1687	99981.24391
7.5909	99997.17829
8.0131	100045.97732
8.4308	100062.90759
8.8531	100030.04294
9.2757	100062.90759
9.6933	99997.17829
