# potencia laser durante la medida en theta = 100.00 deg
# t[s]	P[uW]
0.0194	100094.77635
0.4417	100062.90759
0.8649	100045.97732
1.2871	100062.90759
1.7054	100045.97732
2.1276	100014.10856
2.5451	100062.90759
2.9633	100078.84197
3.3819	100078.84197
3.8001	100014.10856
4.2188	100094.77635
4.6411	100094.77635
5.0589	100094.77635
5.4843	100062.90759
5.9064	100127.64100
6.3287	100045.97732
6.7465	100045.97732
7.1688	100045.97732
7.5863	100062.90759
8.0038	100014.10856
8.4260	100062.90759
8.8483	100062.90759
9.2713	100030.04294
9.6978	100045.97732
