# potencia laser durante la medida en theta = 80.00 deg
# t[s]	P[uW]
0.0187	99964.31364
0.4362	100045.97732
0.8556	100045.97732
1.2736	100030.04294
1.6957	100014.10856
2.1180	99997.17829
2.5402	99997.17829
2.9625	100111.70662
3.3847	100094.77635
3.8027	100045.97732
4.2212	100030.04294
4.6435	100014.10856
5.0612	100078.84197
5.4788	100014.10856
5.9017	99997.17829
6.3239	100078.84197
6.7462	100030.04294
7.1683	100014.10856
7.5906	100014.10856
8.0129	100045.97732
8.4305	100030.04294
8.8527	99899.58023
9.2800	100014.10856
9.6978	99997.17829
