# potencia laser durante la medida en theta = 290.00 deg
# t[s]	P[uW]
0.0189	100094.77635
0.4411	100014.10856
0.8590	100062.90759
1.2816	100030.04294
1.6994	100045.97732
2.1216	100078.84197
2.5401	100030.04294
2.9577	100062.90759
3.3751	100078.84197
3.7936	100078.84197
4.2158	100062.90759
4.6381	100094.77635
5.0603	100062.90759
5.4854	100078.84197
5.9105	100111.70662
6.3326	100062.90759
6.7548	100078.84197
7.1769	100045.97732
7.5992	100078.84197
8.0215	100045.97732
8.4395	100078.84197
8.8617	100094.77635
9.2886	100062.90759
9.7152	100030.04294
