# potencia laser durante la medida en theta = 0.00 deg
# t[s]	P[uW]
0.0186	99964.31364
0.4391	100014.10856
0.8564	100030.04294
1.2785	100045.97732
1.6964	99948.37926
2.1185	99964.31364
2.5390	99997.17829
2.9574	99981.24391
3.3749	100014.10856
3.7952	99997.17829
4.2140	99964.31364
4.6362	99997.17829
5.0557	100062.90759
5.4796	100014.10856
5.9039	100045.97732
6.3263	99997.17829
6.7485	99997.17829
7.1665	100030.04294
7.5887	100078.84197
8.0078	100030.04294
8.4301	100062.90759
8.8524	99981.24391
9.2708	100062.90759
9.7002	100094.77635
