# potencia laser durante la medida en theta = 170.00 deg
# t[s]	P[uW]
0.0187	100014.10856
0.4378	100045.97732
0.8600	100030.04294
1.2823	100045.97732
1.7044	100030.04294
2.1221	100030.04294
2.5443	100014.10856
2.9633	99981.24391
3.3855	99964.31364
3.8077	99981.24391
4.2298	100045.97732
4.6489	99997.17829
5.0776	100030.04294
5.5019	100030.04294
5.9242	100014.10856
6.3453	99997.17829
6.7674	100045.97732
7.1896	100062.90759
7.6118	99964.31364
8.0294	100014.10856
8.4516	100078.84197
8.8812	100030.04294
9.3072	100062.90759
9.7293	100030.04294
