# potencia laser durante la medida en theta = 360.00 deg
# t[s]	P[uW]
0.0231	100030.04294
0.4454	100030.04294
0.8679	100062.90759
1.2901	100062.90759
1.7123	100030.04294
2.1347	100030.04294
2.5569	100014.10856
2.9791	100014.10856
3.3999	100078.84197
3.8174	100030.04294
4.2396	100030.04294
4.6579	100030.04294
5.0869	100062.90759
5.5091	100111.70662
5.9313	100045.97732
6.3498	100062.90759
6.7720	100078.84197
7.1895	100062.90759
7.6081	100094.77635
8.0303	100062.90759
8.4525	100078.84197
8.8750	100078.84197
9.3009	100078.84197
9.7192	100045.97732
