# potencia laser durante la medida en theta = 160.00 deg
# t[s]	P[uW]
0.0196	100030.04294
0.4419	100014.10856
0.8642	100030.04294
1.2901	100014.10856
1.7124	99948.37926
2.1345	99997.17829
2.5567	100094.77635
2.9745	100045.97732
3.3923	100062.90759
3.8146	100014.10856
4.2368	100030.04294
4.6591	100014.10856
5.0835	100078.84197
5.5021	100014.10856
5.9243	100045.97732
6.3466	99997.17829
6.7687	99997.17829
7.1910	100078.84197
7.6094	99997.17829
8.0316	99964.31364
8.4537	100030.04294
8.8804	100014.10856
9.2980	99964.31364
9.7163	100062.90759
