# potencia laser durante la medida en theta = 110.00 deg
# t[s]	P[uW]
0.0277	100030.04294
0.4464	100062.90759
0.8750	99981.24391
1.2978	100014.10856
1.7199	100062.90759
2.1379	100030.04294
2.5601	100014.10856
2.9823	100014.10856
3.4045	100014.10856
3.8267	100014.10856
4.2442	100045.97732
4.6665	100062.90759
5.0867	100030.04294
5.5058	100094.77635
5.9280	100030.04294
6.3502	100062.90759
6.7724	100111.70662
7.1945	100014.10856
7.6168	99948.37926
8.0358	100030.04294
8.4550	100014.10856
8.8830	99981.24391
9.3052	100030.04294
9.7225	100014.10856
