# potencia laser durante la medida en theta = 320.00 deg
# t[s]	P[uW]
0.0208	99981.24391
0.4430	99997.17829
0.8654	100062.90759
1.2931	100062.90759
1.7154	100094.77635
2.1328	100062.90759
2.5550	99997.17829
2.9773	100030.04294
3.3996	100030.04294
3.8218	100062.90759
4.2397	100045.97732
4.6619	100062.90759
5.0860	100045.97732
5.5082	100045.97732
5.9304	100014.10856
6.3490	100045.97732
6.7712	100045.97732
7.1897	99997.17829
7.6073	100014.10856
8.0257	100078.84197
8.4480	100062.90759
8.8703	100030.04294
9.2920	100014.10856
9.7116	100078.84197
