# potencia laser durante la medida en theta = 300.00 deg
# t[s]	P[uW]
0.0195	100094.77635
0.4421	100030.04294
0.8644	100062.90759
1.2820	100045.97732
1.7042	100045.97732
2.1264	100094.77635
2.5488	100078.84197
2.9710	100030.04294
3.3933	100014.10856
3.8156	100078.84197
4.2335	100014.10856
4.6557	100045.97732
5.0789	100045.97732
5.5011	100030.04294
5.9232	100030.04294
6.3456	100078.84197
6.7678	100062.90759
7.1901	100094.77635
7.6089	100127.64100
8.0311	100045.97732
8.4499	100062.90759
8.8721	100078.84197
9.2978	100078.84197
9.7200	100045.97732
