# potencia laser durante la medida en theta = 340.00 deg
# t[s]	P[uW]
0.0234	100030.04294
0.4457	100062.90759
0.8695	100045.97732
1.2874	100045.97732
1.7096	100014.10856
2.1318	100062.90759
2.5540	100030.04294
2.9761	100094.77635
3.3984	100062.90759
3.8206	100045.97732
4.2429	100014.10856
4.6603	100014.10856
5.0825	99997.17829
5.5039	100045.97732
5.9262	100045.97732
6.3484	100078.84197
6.7706	100111.70662
7.1928	100062.90759
7.6151	100045.97732
8.0329	100111.70662
8.4551	100078.84197
8.8777	100111.70662
9.3037	100111.70662
9.7218	100078.84197
