# potencia laser durante la medida en theta = 70.00 deg
# t[s]	P[uW]
0.0215	100014.10856
0.4394	100045.97732
0.8576	100030.04294
1.2821	99964.31364
1.7054	99997.17829
2.1276	100030.04294
2.5455	100030.04294
2.9678	99981.24391
3.3900	99997.17829
3.8080	99964.31364
4.2303	100062.90759
4.6525	100030.04294
5.0747	100030.04294
5.5030	100045.97732
5.9251	100062.90759
6.3429	100014.10856
6.7650	100030.04294
7.1872	100014.10856
7.6094	100014.10856
8.0316	99997.17829
8.4493	100062.90759
8.8715	100062.90759
9.2909	100030.04294
9.7169	100045.97732
