# potencia laser durante la medida en theta = 250.00 deg
# t[s]	P[uW]
0.0233	100014.10856
0.4456	100094.77635
0.8715	100045.97732
1.2939	100030.04294
1.7161	100094.77635
2.1338	100045.97732
2.5560	100045.97732
2.9782	100030.04294
3.4004	100014.10856
3.8184	100030.04294
4.2371	100127.64100
4.6593	100014.10856
5.0771	99997.17829
5.4996	100094.77635
5.9217	100045.97732
6.3440	100062.90759
6.7615	100078.84197
7.1790	100030.04294
7.6012	100062.90759
8.0234	100030.04294
8.4457	100062.90759
8.8637	100045.97732
9.2828	100030.04294
9.7047	100094.77635
