# potencia laser durante la medida en theta = 90.00 deg
# t[s]	P[uW]
0.0229	99997.17829
0.4452	100062.90759
0.8636	100045.97732
1.2914	100045.97732
1.7096	100014.10856
2.1319	100111.70662
2.5502	100030.04294
2.9676	99964.31364
3.3897	100030.04294
3.8119	100094.77635
4.2341	100030.04294
4.6564	100014.10856
5.0788	99981.24391
5.5012	99948.37926
5.9233	100014.10856
6.3456	99997.17829
6.7678	100014.10856
7.1899	100078.84197
7.6121	99981.24391
8.0308	100014.10856
8.4531	100045.97732
8.8804	99997.17829
9.3027	99932.44488
9.7248	100078.84197
