# potencia laser durante la medida en theta = 310.00 deg
# t[s]	P[uW]
0.0207	100030.04294
0.4432	100030.04294
0.8655	100078.84197
1.2838	100094.77635
1.7034	99997.17829
2.1257	100045.97732
2.5441	100062.90759
2.9664	100030.04294
3.3885	100045.97732
3.8108	100062.90759
4.2330	100030.04294
4.6554	100014.10856
5.0786	100045.97732
5.5023	100014.10856
5.9212	100127.64100
6.3397	100014.10856
6.7571	100030.04294
7.1793	100094.77635
7.6015	100045.97732
8.0237	100094.77635
8.4460	100094.77635
8.8683	100127.64100
9.2905	100143.57538
9.7127	100062.90759
