# potencia laser durante la medida en theta = 150.00 deg
# t[s]	P[uW]
0.0252	100030.04294
0.4475	100014.10856
0.8724	100045.97732
1.2950	99997.17829
1.7171	99981.24391
2.1393	100014.10856
2.5616	99997.17829
2.9838	100014.10856
3.4060	100045.97732
3.8283	100030.04294
4.2506	99964.31364
4.6701	100062.90759
5.0912	99997.17829
5.5133	100030.04294
5.9355	100094.77635
6.3536	100030.04294
6.7722	100014.10856
7.1945	100030.04294
7.6167	99997.17829
8.0344	100045.97732
8.4528	100045.97732
8.8751	100062.90759
9.3026	100014.10856
9.7247	100030.04294
