# potencia laser durante la medida en theta = 140.00 deg
# t[s]	P[uW]
0.0188	99964.31364
0.4411	100045.97732
0.8601	99981.24391
1.2784	99981.24391
1.7006	99981.24391
2.1227	100045.97732
2.5449	99948.37926
2.9642	100030.04294
3.3864	100014.10856
3.8087	100062.90759
4.2273	100014.10856
4.6495	100045.97732
5.0747	99964.31364
5.4958	100014.10856
5.9179	100030.04294
6.3401	99981.24391
6.7623	99997.17829
7.1845	99964.31364
7.6067	99948.37926
8.0252	99997.17829
8.4477	100030.04294
8.8652	100030.04294
9.2888	99997.17829
9.7069	99997.17829
