# potencia laser durante la medida en theta = 20.00 deg
# t[s]	P[uW]
0.0268	100030.04294
0.4491	100078.84197
0.8719	99981.24391
1.2941	100045.97732
1.7120	100062.90759
2.1343	100014.10856
2.5525	100014.10856
2.9701	100014.10856
3.3924	99997.17829
3.8102	100062.90759
4.2325	100030.04294
4.6549	99932.44488
5.0778	100062.90759
5.5000	100030.04294
5.9221	99997.17829
6.3398	100045.97732
6.7620	99981.24391
7.1794	99997.17829
7.5971	100078.84197
8.0161	99997.17829
8.4384	99997.17829
8.8607	99981.24391
9.2844	100062.90759
9.7066	99981.24391
