# potencia laser durante la medida en theta = 190.00 deg
# t[s]	P[uW]
0.0214	99981.24391
0.4437	100045.97732
0.8668	100030.04294
1.2889	100045.97732
1.7110	99964.31364
2.1331	100062.90759
2.5506	100062.90759
2.9729	100078.84197
3.3951	100014.10856
3.8175	100062.90759
4.2365	100030.04294
4.6588	100014.10856
5.0879	99981.24391
5.5101	100062.90759
5.9322	100030.04294
6.3544	99997.17829
6.7767	100014.10856
7.1989	100030.04294
7.6179	99997.17829
8.0356	99981.24391
8.4578	99964.31364
8.8823	100030.04294
9.3045	99981.24391
9.7267	100078.84197
