# potencia laser durante la medida en theta = 230.00 deg
# t[s]	P[uW]
0.0187	100078.84197
0.4364	100014.10856
0.8647	100062.90759
1.2870	100045.97732
1.7092	100078.84197
2.1315	100014.10856
2.5537	100030.04294
2.9758	100078.84197
3.3981	100078.84197
3.8165	99981.24391
4.2345	99964.31364
4.6567	99997.17829
5.0846	99997.17829
5.5026	100014.10856
5.9200	100014.10856
6.3377	100078.84197
6.7599	100094.77635
7.1821	100078.84197
7.5996	99997.17829
8.0182	100045.97732
8.4405	99948.37926
8.8627	100062.90759
9.2814	100062.90759
9.7026	100062.90759
