# potencia laser durante la medida en theta = 240.00 deg
# t[s]	P[uW]
0.0213	100094.77635
0.4436	100014.10856
0.8619	100078.84197
1.2848	100030.04294
1.7069	100062.90759
2.1291	99981.24391
2.5513	100062.90759
2.9735	100062.90759
3.3958	100111.70662
3.8180	99997.17829
4.2402	100045.97732
4.6654	100078.84197
5.0891	99997.17829
5.5076	99997.17829
5.9299	100030.04294
6.3521	100014.10856
6.7742	100030.04294
7.1965	100045.97732
7.6187	100062.90759
8.0361	99997.17829
8.4564	100062.90759
8.8786	100062.90759
9.3008	100014.10856
9.7230	100014.10856
