# potencia laser durante la medida en theta = 270.00 deg
# t[s]	P[uW]
0.0192	100045.97732
0.4415	100078.84197
0.8592	100030.04294
1.2814	100045.97732
1.7036	100014.10856
2.1258	100030.04294
2.5480	99981.24391
2.9702	100014.10856
3.3924	100045.97732
3.8147	100111.70662
4.2336	100094.77635
4.6559	100062.90759
5.0787	100030.04294
5.5040	100014.10856
5.9262	100014.10856
6.3438	100045.97732
6.7618	100045.97732
7.1804	100030.04294
7.5987	100094.77635
8.0209	100045.97732
8.4394	100045.97732
8.8568	100062.90759
9.2830	100094.77635
9.7054	100062.90759
