# potencia laser durante la medida en theta = 350.00 deg
# t[s]	P[uW]
0.0191	100062.90759
0.4413	100062.90759
0.8589	100094.77635
1.2862	100094.77635
1.7074	100030.04294
2.1296	100062.90759
2.5480	100143.57538
2.9703	100045.97732
3.3925	100078.84197
3.8147	100078.84197
4.2369	100094.77635
4.6592	100094.77635
5.0789	100062.90759
5.5010	100045.97732
5.9188	100030.04294
6.3369	100078.84197
6.7590	100062.90759
7.1768	100078.84197
7.5990	100030.04294
8.0212	100045.97732
8.4434	99997.17829
8.8648	100062.90759
9.2928	100045.97732
9.7149	100014.10856
