# potencia laser durante la medida en theta = 280.00 deg
# t[s]	P[uW]
0.0211	100062.90759
0.4436	100078.84197
0.8689	100030.04294
1.2910	100062.90759
1.7132	100014.10856
2.1310	100045.97732
2.5532	100030.04294
2.9754	100078.84197
3.3976	100030.04294
3.8198	100062.90759
4.2421	100062.90759
4.6630	100045.97732
5.0803	100062.90759
5.5025	100030.04294
5.9247	100062.90759
6.3469	100062.90759
6.7691	100045.97732
7.1866	100030.04294
7.6087	100030.04294
8.0270	100045.97732
8.4492	100062.90759
8.8757	100094.77635
9.3015	100062.90759
9.7238	100062.90759
