# Ley de Malus por conteo de fotones
# fecha: 2026-07-01T18:12:21
# potencia_CH1_mW:    100.000
# factor_calib_PIC:   0.99522
# bin_length_ms:      1.000
# time_between_ms:    0.001
# pulse_blind_ns:     0.000
# bins_per_array:     10000
# t_integracion_s:    10.010
# sigma_angulo_deg:   2.0
# columnas: angulo[deg]	sigma_angulo[deg]	CPS	sigma_CPS	P[uW]	sigma_P[uW]	I_norm[CPS/uW]	sigma_I_norm
0.00	2.000	94343.1000	99.4531	99997.42901	7.87179	9.434465e-01	9.713197e-04
10.00	2.000	86841.9000	95.4726	99993.32371	5.70187	8.684785e-01	1.166321e-03
20.00	2.000	84317.6000	93.3965	99994.65068	6.12027	8.432236e-01	9.186101e-04
30.00	2.000	87944.5000	95.5138	100013.60138	6.75223	8.793239e-01	9.569347e-04
40.00	2.000	77888.3000	90.0537	99973.79246	6.30507	7.790927e-01	9.246555e-04
50.00	2.000	71224.3000	85.9233	99985.94248	5.18945	7.123437e-01	8.803161e-04
60.00	2.000	73471.3000	87.4303	99995.27269	7.41479	7.347447e-01	8.738069e-04
70.00	2.000	71501.1000	86.3917	99993.40665	5.09083	7.150592e-01	8.797516e-04
80.00	2.000	59362.1000	78.7279	99974.37301	5.82970	5.937726e-01	8.377692e-04
90.00	2.000	54945.1000	76.2688	100012.19148	5.27788	5.493842e-01	9.705716e-04
100.00	2.000	54551.8000	75.4396	99981.13223	5.74795	5.456221e-01	7.387328e-04
110.00	2.000	59139.1000	78.5215	99970.22625	6.19490	5.915685e-01	7.692503e-04
120.00	2.000	71227.7000	87.2437	99990.58685	8.94658	7.123547e-01	9.032597e-04
130.00	2.000	76721.7000	88.8649	99978.39537	6.02533	7.673847e-01	9.584573e-04
140.00	2.000	79318.6000	89.6419	99995.97764	7.15950	7.932181e-01	9.184685e-04
150.00	2.000	74196.0000	88.2861	99973.70953	6.28376	7.421473e-01	9.347418e-04
160.00	2.000	77801.7000	88.9608	100007.58857	7.10752	7.779650e-01	8.819937e-04
170.00	2.000	87403.1000	96.3029	100003.48328	6.48834	8.739996e-01	9.348626e-04
180.00	2.000	83311.6000	93.6435	99996.64112	6.44082	8.331430e-01	1.051877e-03
190.00	2.000	86796.9000	95.6947	100003.48328	6.26777	8.679418e-01	9.566407e-04
200.00	2.000	97059.4000	99.5463	100008.95701	7.09417	9.705026e-01	1.004077e-03
210.00	2.000	76273.5000	90.2064	100025.04644	7.29978	7.625383e-01	9.535387e-04
220.00	2.000	85585.3000	94.7153	100022.39252	7.55995	8.556537e-01	9.672298e-04
230.00	2.000	94030.9000	99.4157	100002.90273	8.12418	9.402871e-01	1.006927e-03
240.00	2.000	79038.1000	90.8715	100009.53755	5.92667	7.903077e-01	8.889513e-04
250.00	2.000	63919.7000	82.0051	99997.30460	5.16420	6.392117e-01	7.995163e-04
260.00	2.000	63103.6000	81.2361	99995.35563	5.82675	6.310718e-01	7.944228e-04
270.00	2.000	53845.8000	75.9171	99997.34607	7.37193	5.384767e-01	7.338224e-04
280.00	2.000	57426.7000	77.0206	99991.20886	5.69784	5.743171e-01	7.910681e-04
290.00	2.000	62973.6000	81.8411	99984.53258	6.96656	6.298270e-01	8.742570e-04
300.00	2.000	77718.4000	89.7813	100006.88363	5.47894	7.771288e-01	9.426305e-04
310.00	2.000	82890.1000	92.9441	100009.57902	6.99453	8.288269e-01	1.012129e-03
320.00	2.000	82058.1000	92.3652	99988.55494	7.12446	8.206715e-01	9.059592e-04
330.00	2.000	81109.3000	91.9393	99995.31416	4.92373	8.111290e-01	9.506213e-04
340.00	2.000	97837.4000	101.0745	100000.82935	5.68964	9.783634e-01	1.114864e-03
350.00	2.000	81735.8000	92.6832	99982.41773	7.16281	8.175095e-01	1.072390e-03
360.00	2.000	88737.5000	96.9194	99979.80527	5.95825	8.875516e-01	1.061063e-03
